FISH SPECIES,TOTAL LENGTH,STANDARD LENGTH,HEAD LENGTH,WEIGHT,SEX,PARASITE LOCATION,S.L grp,parasite no,Parasite infection
Hemichromis faciatus,10.2,13,2.5,36.4,J,NIL,0 - 20cm,0,
Hemichromis faciatus,10.5,9,2.5,27.2,J,NIL,0 - 20cm,0,
Hemichromis faciatus,12.5,16,2.5,75.4,J,NIL,0 - 20cm,0,
Hemichromis faciatus,12,15,2.5,56,J,NIL,0 - 20cm,0,
Hemichromis faciatus,12,15.2,2.5,65,J,NIL,0 - 20cm,0,
Hemichromis faciatus,10.5,13.4,2.5,48.2,J,NIL,0 - 20cm,0,
Hemichromis faciatus,11,14.5,2.5,53,J,NIL,0 - 20cm,0,
Hemichromis faciatus,10,13.2,2.5,50,J,NIL,0 - 20cm,0,
Hemichromis faciatus,12,15,2.5,67,J,NIL,0 - 20cm,0,
Hemichromis faciatus,10.5,13.3,2.5,56,J,NIL,0 - 20cm,0,
Hemichromis faciatus,9.5,12.5,2.5,42,J,NIL,0 - 20cm,0,
Hemichromis faciatus,9.5,11.5,2.5,28,J,NIL,0 - 20cm,0,
Hemichromis faciatus,9.5,12.5,2.5,26.4,J,NIL,0 - 20cm,0,
Hemichromis faciatus,11.5,9.7,2.5,47,J,NIL,0 - 20cm,0,
Hemichromis faciatus,13.5,17,2.5,95.4,J,NIL,0 - 20cm,0,
Hemichromis faciatus,12.8,16,2.5,76,J,NIL,0 - 20cm,0,
Hemichromis faciatus,13,16.2,2.5,85,J,NIL,0 - 20cm,0,
Hemichromis faciatus,11.5,14,2.5,68,J,NIL,0 - 20cm,0,
Hemichromis faciatus,12,15.5,2.5,73,J,NIL,0 - 20cm,0,
Hemichromis faciatus,10.7,14.2,2.5,70,J,NIL,0 - 20cm,0,
Hemichromis faciatus,13,16,2.5,87,J,NIL,0 - 20cm,0,
Hemichromis faciatus,11.5,14.3,2.5,76,J,NIL,0 - 20cm,0,
Hemichromis faciatus,10.6,13.5,2.5,62,J,NIL,0 - 20cm,0,
Hemichromis faciatus,10.5,12.5,2.5,48,J,NIL,0 - 20cm,0,
Hemichromis faciatus,10.7,13.5,2.5,46,J,NIL,0 - 20cm,0,
Hemichromis faciatus,10,13.5,2.5,80,J,NIL,0 - 20cm,0,
Hemichromis faciatus,9.5,13,2.5,70,J,NIL,0 - 20cm,0,
Hemichromis faciatus,10.5,14,2.5,90,J,NIL,0 - 20cm,0,
Hemichromis faciatus,10,13.5,2.5,85,J,NIL,0 - 20cm,0,
